customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Churn_Flag,usage_drop,low_engagement,recent_risk,churn_risk_score,customer_value,action_segment,revenue_at_risk
7590-VHVEG,Female,0,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,No,0,0.9861111111111112,0.2513684210526316,0.9861111111111112,76.56883040935674,29.85,High Risk - Low Value,22.855795877192985
5575-GNVDE,Male,0,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,1889.5,No,0,0.5277777777777778,0.47957894736842105,0.5277777777777778,51.331812865497085,1936.3000000000002,Low Risk,993.9378925146201
3668-QPYBK,Male,0,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,Yes,1,0.9722222222222222,0.4534736842105263,0.9722222222222222,81.65976608187134,107.7,High Risk - Low Value,87.94756807017544
7795-CFOCW,Male,0,No,No,45,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,1840.75,No,0,0.375,0.3562105263157895,0.375,36.93631578947368,1903.4999999999998,Low Risk,703.0827710526315
9237-HQITU,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,Yes,1,0.9722222222222222,0.5953684210526317,0.9722222222222222,85.9166081871345,141.4,High Risk - Low Value,121.48608397660819
9305-CDSKC,Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,Yes,1,0.8888888888888888,0.8391578947368421,0.8888888888888888,87.39695906432748,797.2,High Risk - Low Value,696.7285576608186
1452-KIOVK,Male,0,No,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,No,0,0.6944444444444444,0.7503157894736842,0.6944444444444444,71.12058479532163,1960.1999999999998,High Risk - High Value,1394.1057031578944
6713-OKOMC,Female,0,No,No,10,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.9,No,0,0.8611111111111112,0.2505263157894737,0.8611111111111112,67.793567251462,297.5,Low Risk,201.68586257309943
7892-POOKP,Female,0,Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,Yes,1,0.6111111111111112,0.8825263157894737,0.6111111111111112,69.25356725146199,2934.4,Low Risk,2032.1766774269006
6388-TABGU,Male,0,No,Yes,62,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,3487.95,No,0,0.13888888888888884,0.4728421052631579,0.13888888888888884,23.90748538011696,3481.2999999999997,Low Risk,832.2912885380117
9763-GRSKD,Male,0,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,587.45,No,0,0.8194444444444444,0.42063157894736847,0.8194444444444444,69.98005847953218,649.35,Low Risk,454.4155097368422
7469-LKBCI,Male,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,326.8,No,0,0.7777777777777778,0.15957894736842104,0.7777777777777778,59.231812865497076,303.2,Low Risk,179.59085660818715
8091-TTVAX,Male,0,Yes,No,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,5681.1,No,0,0.19444444444444442,0.8450526315789473,0.19444444444444442,38.96269005847953,5820.299999999999,Low Risk,2267.745449473684
0280-XJGEX,Male,0,No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes,1,0.3194444444444444,0.8732631578947369,0.3194444444444444,48.559005847953216,5081.3,Low Risk,2467.428764152047
5129-JLPIS,Male,0,No,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,No,0,0.6527777777777778,0.888421052631579,0.6527777777777778,72.3470760233918,2637.5,High Risk - High Value,1908.154130116959
3655-SNQYZ,Female,0,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,7895.15,No,0,0.04166666666666663,0.9536842105263158,0.04166666666666663,31.527192982456143,7814.25,Low Risk,2463.6136776315793
8191-XWSZG,Female,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,1022.95,No,0,0.2777777777777778,0.17389473684210524,0.2777777777777778,24.6612865497076,1073.8,Low Risk,264.8128949707602
9959-WOFKT,Male,0,No,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,No,0,0.01388888888888884,0.8985263157894737,0.01388888888888884,27.92801169590643,7575.7,Low Risk,2115.7423820467834
4190-MFLUW,Female,0,Yes,Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,Yes,1,0.8611111111111112,0.46484210526315795,0.8611111111111112,74.22304093567253,552.0,High Risk - Low Value,409.7111859649123
4183-MYFRB,Female,0,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,No,0,0.7083333333333333,0.7583157894736842,0.7083333333333333,72.33280701754386,1891.05,High Risk - High Value,1367.8495471052631
8779-QRDMV,Male,1,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,Yes,1,0.9861111111111112,0.33389473684210524,0.9861111111111112,79.04461988304095,39.65,High Risk - Low Value,31.34119178362574
1680-VDCWW,Male,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,202.25,No,0,0.8333333333333334,0.16673684210526316,0.8333333333333334,63.33543859649124,237.60000000000002,Low Risk,150.4850021052632
1066-JKSGK,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,Yes,1,0.9861111111111112,0.16968421052631577,0.9861111111111112,74.11830409356726,20.15,High Risk - Low Value,14.934838274853801
3638-WEABW,Female,0,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,3505.1,No,0,0.19444444444444442,0.5044210526315789,0.19444444444444442,28.743742690058475,3474.2,Low Risk,998.6151085380116
6322-HRPFA,Male,0,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,2970.3,No,0,0.3194444444444444,0.5018947368421053,0.3194444444444444,37.417953216374265,2920.4,Low Risk,1092.7539057309941
6865-JZNKO,Female,0,No,No,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,No,0,0.5833333333333333,0.46568421052631576,0.5833333333333333,54.8038596491228,1659.0,Low Risk,909.1960315789472
6467-CHFZW,Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,Yes,1,0.3472222222222222,0.8366315789473684,0.3472222222222222,49.4045029239766,4669.45,Low Risk,2306.918561783625
8665-UTDHZ,Male,0,Yes,Yes,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,Yes,1,0.9861111111111112,0.2543157894736842,0.9861111111111112,76.65725146198831,30.2,High Risk - Low Value,23.15048994152047
5248-YGIJN,Male,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,No,0,0.0,0.76,0.0,22.799999999999997,6498.0,Low Risk,1481.5439999999999
8773-HHUOZ,Female,0,No,Yes,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,Yes,1,0.7638888888888888,0.5448421052631579,0.7638888888888888,69.81748538011696,1099.9,Low Risk,767.9225216959065
3841-NFECX,Female,1,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,6766.95,No,0,0.01388888888888884,0.8113684210526315,0.01388888888888884,25.31327485380116,6840.849999999999,Low Risk,1731.6431628362566
4929-XIHVW,Male,1,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,No,0,0.9722222222222222,0.8042105263157895,0.9722222222222222,92.18187134502924,191.0,High Risk - Low Value,176.06737426900582
6827-IEAUQ,Female,0,Yes,Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,1874.45,No,0,0.625,0.5570526315789475,0.625,60.46157894736842,1786.0500000000002,Low Risk,1079.8740307894739
7310-EGVHZ,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,20.2,No,0,0.9861111111111112,0.17010526315789473,0.9861111111111112,74.13093567251462,20.2,High Risk - Low Value,14.974449005847953
3413-BMNZE,Male,1,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,No,0,0.9861111111111112,0.38105263157894737,0.9861111111111112,80.45935672514621,45.25,High Risk - Low Value,36.40785891812866
6234-RAAPL,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,7251.7,No,0,0.0,0.8412631578947369,0.0,25.237894736842108,7192.8,Low Risk,1815.3112926315794
6047-YHPVI,Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,Yes,1,0.9305555555555556,0.5869473684210527,0.9305555555555556,82.74730994152047,348.5,High Risk - Low Value,288.3743751461989
6572-ADKRS,Female,0,No,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,No,0,0.36111111111111116,0.6298947368421053,0.36111111111111116,44.17461988304094,3440.7999999999997,Low Risk,1519.9603209356726
5380-WJKOV,Male,0,No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,Yes,1,0.5277777777777778,0.895578947368421,0.5277777777777778,63.811812865497075,3615.8999999999996,Low Risk,2307.3713414035087
8168-UQWWF,Female,0,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Yes,1,0.8472222222222222,0.824,0.8472222222222222,84.02555555555556,1076.35,High Risk - Low Value,904.4090672222221
8865-TNMNX,Male,0,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,49.55,475.7,No,0,0.8611111111111112,0.41726315789473684,0.8611111111111112,72.7956725146199,495.5,High Risk - Low Value,360.70255730994154
